origen	long_mm	peso_mg
pond1	48	6112
pond1	45	5218
pond1	39	5238
pond1	59	7264
pond1	21	3844
pond1	18	3344
pond2	29	4774
pond2	32	4662
pond2	37	4617
pond2	59	5377
pond2	33	4707
pond2	22	4031
pond2	22	3979
pond2	55	5493
pond2	24	4135
pond2	42	4685
pond3	53	8205
pond3	45	7660
pond3	18	4135
pond3	45	7549
pond3	29	5198
pond3	14	3047
pond3	34	6464
pond3	25	4662
pond3	21	4501
pond4	28	5157
pond4	28	5157
pond4	45	6382
pond4	53	6673
pond4	42	6266
pond4	28	5157
pond4	62	7715
pond4	21	4430
pond5	28	5157
pond5	38	6060
pond5	22	4005
pond5	24	4990
pond5	46	8089
pond5	26	5198
pond5	28	5318
pond5	46	8167
pond5	36	7117
pond6	14	3468
pond6	36	5435
pond6	20	3952
pond6	33	4818
pond6	32	4926
pond6	61	6007
pond6	51	5626
pond6	33	5136
pond6	35	4969
pond7	39	7957
pond7	37	7632
pond7	22	5298
pond7	43	7191
pond7	30	6673
pond7	14	3925
pond7	14	3646
pond7	49	8777
pond7	23	5626
pond7	33	6860
pond7	34	6783
