SiteID,forest_species_richness_resid,forest_species_richness_short,forest_species_richness_long,forest_species_richness,temp.mean.year,snow,forest.1.25,Elev.mean
100003,4,5,4,14,6.1,118,361.707504,232.9
100004,5,9,7,21,7.2,98,443.621393,90.3
100005,3,7,9,19,6.9,91,383.329351,117
100010,3,6,1,10,5.1,85,425.516891,415.8
100012,6,9,5,20,4.8,129,385.013236,50.2
100016,4,4,4,12,6.1,134,478.254766,122.9
100018,7,5,6,18,6.1,61,68.922063,83.4
100019,4,3,4,11,6.7,43,265.118055,66.6
100031,7,4,3,14,10,13,421.811636,211
100036,6,6,6,18,10,16,487.67432,226.6
100038,6,7,3,16,7.5,50,414.152407,857.7
100046,4,5,4,13,10.2,76,265.469208,202.7
100049,5,7,7,19,12.5,34,178.959855,11.6
100051,6,6,5,17,12.1,83,404.982175,74
100054,8,5,4,17,12.5,19,181.840042,138.4
100059,7,5,6,18,11.7,7,483.097028,209.6
100060,6,4,2,12,12.9,5,338.029134,59.5
100061,4,5,5,14,9.8,7,490.101227,680.2
100064,7,3,10,20,7.6,28,398.822417,1042.2
100071,5,3,3,11,12,24,421.538919,387.6
100084,3,5,5,13,12.7,21,428.116057,340.7
100090,6,5,5,16,11.1,109,435.61774,152
100093,6,5,5,16,12.2,76,306.485256,254
100098,8,7,7,22,11.9,49,476.809744,251.9
100106,6,6,6,18,9.9,20,477.423542,936.1
100108,8,7,8,23,10,17,340.902939,925.7
100109,8,7,8,23,8.6,49,443.450269,901.2
100113,6,7,4,17,9.9,24,476.206524,845.6
100114,6,8,5,19,4,146,399.908998,1687.5
100115,6,5,4,15,9.3,66,444.20491,906.4
100118,6,4,3,13,10,26,463.612733,808.7
100125,6,2,2,10,14.6,5,460.58202,205.7
100129,7,5,4,16,15,3,277.625963,96
100130,8,4,6,18,9.1,20,487.141216,961.4
100131,9,6,3,18,11.4,52,464.068715,449.5
100132,9,7,7,23,10.9,163,482.240715,572.7
100133,10,9,8,27,10.4,115,456.770278,615.7
100134,11,6,6,23,9,157,433.555991,863
100143,5,2,3,10,11.5,0,478.007705,471.3
100160,6,7,7,20,12.9,0,378.048326,398.2
100161,6,4,5,15,15.4,0,264.218294,62.8
100162,6,4,4,14,13.8,0,452.489736,325.3
100163,5,5,5,15,11.9,0,487.107223,605.3
100164,9,6,6,21,13.2,0,484.500725,419.2
100165,6,3,3,12,13.4,0,441.811607,341.1
100175,7,6,7,20,16.1,0,485.274013,154.9
100190,7,6,1,14,14.1,0,450.802025,227.2
100192,8,6,6,20,13.4,0,450.249288,202.7
100197,10,5,7,22,12.8,31,479.776075,280.8
100198,7,5,6,18,12.7,22,478.887596,277.1
100206,8,6,5,19,12.3,22,461.947966,348.4
100207,6,6,5,17,13.2,0,475.095295,236.7
100209,4,4,1,9,13.8,33,268.810471,145.6
100212,7,6,5,18,12,0,433.873393,466.5
100218,6,5,2,13,14.3,0,460.829407,196.8
100220,8,5,5,18,14.2,0,483.131145,244.4
100221,5,5,0,10,15,0,476.460398,189.5
100227,6,4,5,15,14.1,0,457.821131,285.3
100233,7,5,3,15,15.1,0,445.629872,229.5
100237,8,5,6,19,13.3,0,479.089796,324.4
100242,8,6,6,20,15.9,0,487.798395,135.6
100243,6,5,5,16,15.8,0,463.965317,186.7
100244,5,3,2,10,16.1,0,413.250264,202.5
100245,7,4,4,15,16.1,0,477.597829,270.2
100246,7,4,6,17,15.6,4,252.357278,82.8
100248,4,3,4,11,14.9,4,256.071715,78.6
100251,6,4,3,13,15.9,0,213.573866,57.5
100253,6,5,5,16,13,6,319.231864,87.2
100255,8,7,8,23,8,68,162.522095,16.2
100257,7,6,4,17,10.8,0,448.509091,817.3
100265,2,4,4,10,4.5,63,477.141691,387.3
100267,7,3,4,14,4.4,69,386.477863,330.3
100273,8,6,3,17,10.5,0,460.590847,828.6
100277,2,6,5,13,6,90,355.90487,210.9
100280,8,2,3,13,6.3,104,67.858626,147.4
100281,6,5,6,17,12.3,0,477.553286,301.2
100282,7,4,4,15,13.3,0,482.416314,199.5
100283,6,3,4,13,14.4,0,276.568189,147.8
100285,6,3,2,11,15.2,0,281.825098,78.5
100286,8,9,3,20,11,0,487.79839,832.7
100289,8,6,4,18,15.9,0,305.151948,139.4
100290,5,4,3,12,15.7,0,455.493077,194
100291,8,5,5,18,11.6,0,469.424098,764.1
100292,6,5,3,14,11.4,0,490.287936,830.8
100294,5,5,4,14,12.4,0,338.01394,438.3
100295,7,3,2,12,12.2,92,475.005884,357
100296,8,8,5,21,12.8,0,483.375349,326.5
100300,8,5,3,16,13,0,484.573044,341.6
100301,5,4,2,11,14.9,4,145.303132,23.2
100302,7,4,3,14,14.2,3,312.858817,48.3
100304,7,3,3,13,15.9,2,313.123109,42.4
100306,9,7,5,21,7.2,20,375.298379,1220.3
100308,6,4,3,13,14.4,0,433.708012,221.5
100311,7,5,4,16,11.9,0,479.134263,455.6
100313,5,5,1,11,15.2,0,223.332308,18.8
100314,5,5,3,13,14.1,0,393.930691,170.2
100315,6,5,6,17,14,0,490.261522,242.5
100316,6,6,4,16,10.8,19,299.57398,744.1
100318,8,4,3,15,15.6,4,234.554053,96.6
100319,7,6,6,19,10.9,27,488.108563,629.4
100324,6,4,3,13,7.5,0,489.901547,1293.9
100326,8,8,3,19,10.7,0,487.775061,853.5
100327,10,4,7,21,8.7,0,489.015736,1136.8
100328,4,4,2,10,15.6,0,172.328086,87
100329,7,4,3,14,15.9,0,57.608654,39.4
100330,4,5,5,14,10.9,0,489.727459,866.5
100336,5,3,2,10,14.8,4,154.854022,9.2
100337,5,5,3,13,13.6,6,323.359872,106
100338,5,5,4,14,9.8,23,445.936403,865
100341,8,5,5,18,14.1,0,474.94575,266.7
100342,7,7,7,21,13.1,0,460.16353,450.6
100343,5,7,7,19,8.8,26,486.475204,979.3
100344,8,7,9,24,9,17,485.608667,959.8
100345,6,5,2,13,10.7,50,167.341676,619.8
100346,6,4,3,13,14.1,35,352.584348,147.6
100347,7,3,3,13,14.9,65,301.739094,134.4
100349,6,5,2,13,9.2,46,478.029723,466.1
100350,6,4,6,16,13.4,8,387.126535,269.3
100352,6,5,2,13,12.2,56,474.127266,366.9
100353,8,5,3,16,12.6,31,383.151338,243
100355,6,5,6,17,14.2,7,354.106124,172.2
100357,5,4,4,13,15.4,1,445.445226,128.9
100360,5,5,2,12,14.6,29,125.158858,14
100361,6,6,5,17,13.5,38,284.236106,123.2
100362,9,6,6,21,11.9,57,481.313766,319.6
100363,5,4,4,13,14,44,385.641741,119.7
100364,12,4,3,19,9.4,189,490.695476,842.2
100365,9,4,4,17,9.7,71,490.821721,732.7
100366,8,10,7,25,10.9,0,489.986526,679.4
100367,6,4,0,10,12.6,0,479.853971,415.3
100368,9,5,6,20,7.2,139,372.702013,153.1
100371,6,8,4,18,8.3,173,453.719846,419.3
100372,7,5,4,16,9.6,40,371.94925,225.4
100373,7,6,7,20,7.3,73,490.765533,1115.2
100376,7,7,9,23,9.7,31,464.347155,735.1
100377,8,6,7,21,11.9,0,488.396773,421.5
100378,4,5,4,13,8.4,181,490.588483,963.5
100381,8,6,6,20,8.6,22,469.66669,962.9
100383,6,6,6,18,11.9,0,489.815614,594.3
100384,7,7,6,20,12.1,0,468.385002,496.5
100385,7,5,5,17,13.1,0,479.002718,367.2
100387,5,7,5,17,11.1,0,490.361089,738.2
100401,4,3,1,8,14.1,24,61.332805,7.7
100405,7,4,7,18,10.4,28,178.970458,36.1
100406,7,7,4,18,10.4,22,348.306352,65.2
100409,5,4,3,12,10.1,11,245.779853,151.4
100410,6,4,4,14,13.2,72,208.852663,10.2
100411,4,3,5,12,13.3,39,156.037805,9.5
100412,3,4,2,9,13.1,21,213.597291,25
100413,10,7,9,26,12.2,84,362.004162,76
100416,6,6,9,21,12.3,74,477.169361,163.6
100420,6,3,5,14,10.1,30,455.405066,602.6
100423,6,4,0,10,12.9,6,254.753419,97
100424,5,6,3,14,13.7,5,394.444184,83.4
100426,6,5,7,18,14.7,0,402.918299,204.4
100427,4,5,2,11,16,0,202.035579,63.9
100429,8,5,6,19,12.6,15,432.150052,427
100430,4,5,1,10,12.8,11,330.653615,486.5
100431,9,6,6,21,9.9,10,478.857928,923
100434,4,6,4,14,4.5,125,390.058724,160.5
100436,3,3,1,7,6.5,105,485.236604,90.2
100439,8,8,7,23,8.2,28,296.263576,161.1
100440,3,7,5,15,6.8,234,261.203163,181.7
100442,8,9,8,25,7.7,63,282.783805,131.9
100447,2,2,3,7,7.4,148,464.001207,553.3
100448,6,3,5,14,10.5,0,447.760143,1036.9
100450,6,4,1,11,16.4,0,341.961129,83.9
100452,5,3,2,10,14.8,0,488.479571,350.1
100453,6,6,2,14,13.7,0,490.76418,450.1
100454,9,9,7,25,7.8,34,403.893466,1112.7
100458,7,5,6,18,11,20,276.987991,418.5
100459,3,3,1,7,10.7,19,449.35319,427.3
100472,7,6,5,18,13.2,54,394.018801,81.8
100475,7,3,4,14,14.4,1,476.228258,197.5
100476,5,6,4,15,10.8,71,453.847345,468.1
100478,7,4,4,15,16.5,0,231.239339,52.2
100480,0,3,2,5,2.4,95,400.802136,647.4
100486,7,10,8,25,8.6,23,488.489577,1063.7
100487,6,6,3,15,13.7,6,476.668264,147.3
100491,7,8,7,22,13.8,0,429.297253,523.7
100492,8,5,4,17,14.6,0,476.417712,277.8
100493,6,6,5,17,12.1,0,484.091765,643.9
100496,8,5,5,18,9.6,0,487.806864,1080.6
100497,9,7,5,21,16.3,0,487.473584,188.6
100498,4,3,4,11,6.3,109,254.802443,316.9
100500,6,5,2,13,11.6,0,454.033633,644.5
100501,6,3,3,12,13.7,0,485.510249,360.6
