SiteID,forest_species_richness,forest_species_richness_long,forest_species_richness_resid,forest_species_richness_short,temp.mean.year,snow,forest.10,Elev.mean
100003,3,0,2,2,6.1,118,30073.82669,232.9
100004,8,0,7,1,7.2,98,16408.94977,90.3
100005,11,0,9,3,6.9,91,28409.21727,117
100010,9,0,6,3,5.1,85,19276.60553,415.8
100012,12,3,7,2,4.8,129,29113.31827,50.2
100016,14,1,10,4,6.1,134,16126.72434,122.9
100018,12,2,8,3,6.1,61,4101.691271,83.4
100019,2,0,1,1,6.7,43,16108.89953,66.6
100031,13,3,7,4,10,13,23576.96164,211
100036,9,1,4,5,10,16,24536.01829,226.6
100038,10,1,7,3,7.5,50,26571.16914,857.7
100046,9,1,8,1,10.2,76,20061.06866,202.7
100049,12,2,7,4,12.5,34,2732.878368,11.6
100051,10,0,8,3,12.1,83,17665.40085,74
100054,16,4,9,4,12.5,19,13047.26516,138.4
100059,14,1,6,8,11.7,7,28270.03174,209.6
100060,10,0,7,4,12.9,5,11207.97396,59.5
100061,16,1,8,8,9.8,7,14972.28454,680.2
100064,15,1,9,6,7.6,28,28713.71603,1042.2
100071,8,1,5,3,12,24,27982.99911,387.6
100084,9,0,3,5,12.7,21,27422.24553,340.7
100090,11,2,5,5,11.1,109,27758.43924,152
100093,14,1,7,7,12.2,76,20344.33248,254
100098,17,5,8,5,11.9,49,23231.52866,251.9
100106,11,0,9,3,9.9,20,28437.75285,936.1
100108,16,1,10,6,10,17,20476.60701,925.7
100109,15,2,8,6,8.6,49,25953.09057,901.2
100113,13,0,9,5,9.9,24,27586.66887,845.6
100114,3,0,3,1,4,146,23421.27205,1687.5
100115,12,2,5,6,9.3,66,30067.73463,906.4
100118,4,0,2,3,10,26,28908.44715,808.7
100125,8,1,5,3,14.6,5,29788.56459,205.7
100129,10,3,4,4,15,3,23762.72293,96
100130,12,1,8,3,9.1,20,30100.24476,961.4
100131,12,2,6,5,11.4,52,28819.73844,449.5
100132,8,0,7,2,10.9,163,25980.61223,572.7
100133,14,2,9,4,10.4,115,28669.24021,615.7
100134,6,0,5,2,9,157,26677.23951,863
100143,9,1,6,3,11.5,0,27760.58,471.3
100160,13,1,7,5,12.9,0,27296.19736,398.2
100161,8,1,4,4,15.4,0,12020.22863,62.8
100162,12,2,5,6,13.8,0,8326.001818,325.3
100163,12,2,6,4,11.9,0,24585.76849,605.3
100164,18,5,8,6,13.2,0,24078.05628,419.2
100165,10,1,5,5,13.4,0,18510.13088,341.1
100175,15,2,7,7,16.1,0,14310.02638,154.9
100190,8,2,3,4,14.1,0,26842.48191,227.2
100192,11,3,5,4,13.4,0,8474.690211,202.7
100197,7,1,5,2,12.8,31,20104.26598,280.8
100198,10,0,5,6,12.7,22,27359.78129,277.1
100206,18,3,9,7,12.3,22,25538.65172,348.4
100207,10,3,3,5,13.2,0,24964.07524,236.7
100209,9,2,4,4,13.8,33,12668.57461,145.6
100212,15,3,6,7,12,0,25253.36155,466.5
100218,13,2,5,7,14.3,0,30746.81363,196.8
100220,12,2,7,4,14.2,0,29308.55564,244.4
100221,6,1,3,3,15,0,27940.1028,189.5
100227,17,1,9,8,14.1,0,17569.5747,285.3
100233,14,3,6,6,15.1,0,17528.15669,229.5
100237,19,3,9,8,13.3,0,25509.83688,324.4
100242,16,2,8,7,15.9,0,22276.95836,135.6
100243,10,1,5,5,15.8,0,24309.76168,186.7
100244,11,1,7,4,16.1,0,26531.43913,202.5
100245,15,2,9,5,16.1,0,20778.67387,270.2
100246,14,2,6,7,15.6,4,7036.049933,82.8
100248,10,1,6,4,14.9,4,16287.38278,78.6
100251,12,2,5,6,15.9,0,6079.652603,57.5
100253,18,1,6,12,13,6,21139.73629,87.2
100255,18,4,10,5,8,68,7630.72439,16.2
100257,17,3,8,7,10.8,0,16794.74668,817.3
100265,9,1,7,2,4.5,63,27208.0608,387.3
100267,15,1,10,5,4.4,69,29351.87919,330.3
100273,10,1,5,5,10.5,0,29392.63051,828.6
100277,4,0,4,1,6,90,19230.54655,210.9
100280,8,1,7,1,6.3,104,8067.490457,147.4
100281,11,1,6,5,12.3,0,24635.50634,301.2
100282,9,0,6,4,13.3,0,20360.48358,199.5
100283,14,2,6,6,14.4,0,13086.18964,147.8
100285,7,1,5,2,15.2,0,8272.360086,78.5
100286,12,2,6,5,11,0,22724.17188,832.7
100289,12,1,7,5,15.9,0,16186.28355,139.4
100290,11,3,5,4,15.7,0,27933.33378,194
100291,2,0,2,0,11.6,0,29943.43046,764.1
100292,9,1,5,4,11.4,0,29743.60873,830.8
100294,15,3,6,7,12.4,0,27834.08078,438.3
100295,12,3,6,4,12.2,92,30037.01441,357
100296,14,2,8,5,12.8,0,29635.07925,326.5
100300,20,3,10,8,13,0,21910.93836,341.6
100301,13,3,6,5,14.9,4,5368.704745,23.2
100302,15,3,8,5,14.2,3,14045.11306,48.3
100304,14,2,6,7,15.9,2,8123.847505,42.4
100306,13,2,7,5,7.2,20,26965.08854,1220.3
100308,12,1,7,5,14.4,0,8442.348196,221.5
100311,11,0,9,3,11.9,0,23730.10819,455.6
100313,7,1,3,4,15.2,0,7410.591069,18.8
100314,13,1,6,7,14.1,0,15962.30523,170.2
100315,12,1,5,6,14,0,26482.48772,242.5
100316,15,1,9,6,10.8,19,25688.83791,744.1
100318,12,0,8,5,15.6,4,6486.115551,96.6
100319,15,1,7,8,10.9,27,26853.29903,629.4
100324,11,1,8,3,7.5,0,30826.10671,1293.9
100326,17,5,8,5,10.7,0,24241.94847,853.5
100327,7,0,6,1,8.7,0,25161.10527,1136.8
100328,12,2,6,5,15.6,0,16344.7118,87
100329,10,1,7,3,15.9,0,17028.72523,39.4
100330,10,1,6,4,10.9,0,30143.45634,866.5
100336,11,1,8,3,14.8,4,1938.657504,9.2
100337,8,1,4,4,13.6,6,21581.81576,106
100338,13,3,7,4,9.8,23,30798.16018,865
100341,11,1,6,5,14.1,0,18827.33019,266.7
100342,19,5,7,8,13.1,0,18331.63434,450.6
100343,12,3,7,3,8.8,26,23406.8248,979.3
100344,13,1,9,4,9,17,22342.55636,959.8
100345,12,3,7,3,10.7,50,24133.69894,619.8
100346,11,2,5,5,14.1,35,10184.25336,147.6
100347,8,0,6,3,14.9,65,7040.566282,134.4
100349,12,1,9,3,9.2,46,29291.14034,466.1
100350,8,0,6,3,13.4,8,22287.70625,269.3
100352,11,1,8,3,12.2,56,29238.33607,366.9
100353,17,4,8,6,12.6,31,25866.47663,243
100355,9,1,6,3,14.2,7,14372.68566,172.2
100357,15,3,7,6,15.4,1,4373.153686,128.9
100360,17,3,8,7,14.6,29,9626.621395,14
100361,15,2,7,7,13.5,38,16908.36797,123.2
100362,13,1,7,6,11.9,57,22389.1441,319.6
100363,14,1,6,8,14,44,22840.94356,119.7
100364,10,1,7,3,9.4,189,30283.21129,842.2
100365,9,2,4,3,9.7,71,30989.32573,732.7
100366,23,5,9,10,10.9,0,22944.8771,679.4
100367,5,0,3,3,12.6,0,20145.67418,415.3
100368,14,0,11,4,7.2,139,16208.06857,153.1
100371,6,0,5,2,8.3,173,26765.58695,419.3
100372,14,1,9,5,9.6,40,26036.17756,225.4
100373,10,2,7,1,7.3,73,33755.27382,1115.2
100376,3,1,1,1,9.7,31,27274.15125,735.1
100377,8,1,6,2,11.9,0,27239.07597,421.5
100378,7,3,2,1,8.4,181,30497.31754,963.5
100381,19,4,9,7,8.6,22,29014.8216,962.9
100383,14,1,8,6,11.9,0,22485.28668,594.3
100384,13,2,6,6,12.1,0,18468.60528,496.5
100385,13,2,6,6,13.1,0,14213.15771,367.2
100387,8,1,4,4,11.1,0,22078.14622,738.2
100401,13,3,5,6,14.1,24,1284.233522,7.7
100405,10,2,6,3,10.4,28,14654.44471,36.1
100406,11,3,6,3,10.4,22,11254.29344,65.2
100409,9,1,6,3,10.1,11,12147.94209,151.4
100410,14,2,7,6,13.2,72,3985.42067,10.2
100411,10,2,6,3,13.3,39,954.327144,9.5
100412,5,1,3,2,13.1,21,4035.857277,25
100413,11,0,7,5,12.2,84,12668.04633,76
100416,9,0,7,3,12.3,74,16744.09419,163.6
100420,9,1,6,3,10.1,30,26318.871,602.6
100423,13,1,8,5,12.9,6,5973.90185,97
100424,12,2,6,5,13.7,5,8775.773169,83.4
100426,15,1,6,9,14.7,0,14600.55396,204.4
100427,11,3,3,6,16,0,4754.527045,63.9
100429,11,2,5,5,12.6,15,28404.44391,427
100430,11,2,6,4,12.8,11,16096.94862,486.5
100431,18,3,9,6,9.9,10,21506.09084,923
100434,7,0,6,0,4.5,125,22320.9533,160.5
100436,13,1,10,3,6.5,105,22699.61805,90.2
100439,11,0,9,3,8.2,28,1580.257017,161.1
100440,4,0,3,1,6.8,234,26324.86406,181.7
100442,12,1,10,2,7.7,63,22508.32188,131.9
100447,7,0,6,1,7.4,148,26493.1995,553.3
100448,10,2,5,4,10.5,0,17663.32681,1036.9
100450,14,4,5,6,16.4,0,9214.422189,83.9
100452,12,1,7,5,14.8,0,20585.3882,350.1
100453,9,2,4,4,13.7,0,21821.10236,450.1
100454,18,3,9,7,7.8,34,20743.14522,1112.7
100458,11,2,8,2,11,20,21925.85881,418.5
100459,13,2,8,4,10.7,19,21791.93207,427.3
100472,12,2,5,6,13.2,54,11900.83511,81.8
100475,11,1,5,5,14.4,1,13443.85388,197.5
100476,10,2,6,3,10.8,71,24794.80864,468.1
100478,20,4,8,9,16.5,0,5972.57479,52.2
100480,1,0,1,0,2.4,95,23167.80583,647.4
100486,14,2,7,6,8.6,23,30616.66894,1063.7
100487,16,2,5,9,13.7,6,8225.197886,147.3
100491,16,1,9,7,13.8,0,25087.47623,523.7
100492,17,3,9,6,14.6,0,27347.80147,277.8
100493,16,3,8,6,12.1,0,30930.98177,643.9
100496,14,3,8,4,9.6,0,30631.02094,1080.6
100497,17,3,9,6,16.3,0,29744.54063,188.6
100498,1,0,1,1,6.3,109,23353.94503,316.9
100500,13,4,6,4,11.6,0,24557.71609,644.5
