SiteID,grass_species_richness_short,grass_species_richness_resid,grass_species_richness_long,grass_species_richness,temp.mean.year,snow,open.5,Elev.mean
100011,9,0,3,12,6.2,74,1650.158219,37.9
100020,6,1,1,8,5.8,94,864.457772,228.2
100035,3,3,2,8,11.2,11,4108.743236,6.7
100104,3,3,2,8,14.3,7,4351.335109,253.8
100121,5,3,1,9,15.3,0,6345.796174,2
100193,3,3,2,8,14,0,5331.627502,131.9
100238,7,2,2,11,16.4,0,1275.417273,3.5
100254,4,2,3,9,13.8,3,4528.095778,1
100261,7,1,7,15,5.6,54,2116.073852,15.2
100262,2,0,3,5,6.1,54,2248.331686,3.6
100264,6,0,8,14,6.3,57,2609.939973,3
100270,4,3,2,9,14.3,4,3805.309226,7.6
100271,4,1,3,8,14.5,2,4547.389031,2
100284,4,2,1,7,15.5,0,1776.102223,-0.7
100287,5,2,3,10,11.6,0,4382.081356,774.4
100293,8,1,7,16,7,126,5915.99622,7.5
100298,4,1,1,6,13.1,0,2375.765333,305.9
100303,4,3,2,9,15.5,3,1836.77169,1.4
100309,5,1,0,6,10.5,0,668.416421,705.7
100339,2,4,0,6,14.5,5,4218.645481,40.3
100340,5,1,1,7,13,0,2405.088539,459.1
100356,6,3,2,11,15.7,0,1926.600955,3.8
100386,2,2,2,6,16.5,0,392.575616,0.5
100400,6,1,4,11,10.1,19,1590.267348,914.5
100403,3,3,3,9,13.9,28,3293.361235,-0.1
100425,5,2,3,10,14,4,6254.393436,16
100437,5,1,1,7,6.2,93,1607.332683,1366.6
100443,4,0,1,5,10,28,438.689897,62.1
100455,6,2,5,13,8.6,26,1104.694855,932.2
100456,6,1,4,11,5.8,22,1191.424261,1585.7
100461,4,1,2,7,9.7,32,2805.122368,12.3
100481,6,0,6,12,5.7,49,4792.267645,19.4
100494,6,2,1,9,13.8,0,1785.94926,539.5
100499,5,1,7,13,7,43,3506.963983,3.9
100518,6,2,2,10,9.5,0,1600.488606,1027.8
100538,7,2,2,11,17.4,0,2188.917622,10.2
100553,8,0,8,16,6.3,58,3281.829454,5.1
100554,7,0,8,15,5.4,56,3475.210894,5.4
100582,2,2,2,6,16,0,5326.951498,2.5
100583,3,1,6,10,6.3,87,6446.346754,5.3
100586,4,2,2,8,10.4,88,2445.671453,580.8
100587,4,0,0,4,8.5,135,274.776576,928.7
100594,3,0,5,8,7.2,55,1507.034597,3.7
