Pote	Size	Specie	Initial_Weight	Final_Weight	PI-PF	Initial_Weight_corretion	Initial_Weight_Adjusted	Consume_Adjusted	Consume	Consume%	Consume_Adjusted%
1	3_Large	I._laurina 	0.0367	0.03612	0.00058	0.001835	0.034865	-0.001255	0.00058	1.580381471	-3.419618529
2	3_Large	I._laurina 	0.0357	0.03444	0.00126	0.001785	0.033915	-0.000525	0.00126	3.529411765	-1.470588235
3	3_Large	I._laurina 	0.0378	0.03572	0.00208	0.00189	0.03591	0.00019	0.00208	5.502645503	0.502645503
4	3_Large	I._laurina 	0.03621	0.03477	0.00144	0.0018105	0.0343995	-0.0003705	0.00144	3.976801988	-1.023198012
5	3_Large	I._laurina 	0.03959	0.0378	0.00179	0.0019795	0.0376105	-0.0001895	0.00179	4.521343774	-0.478656226
6	3_Large	I._laurina 	0.0341	0.03196	0.00214	0.001705	0.032395	0.000435	0.00214	6.275659824	1.275659824
7	3_Large	I._laurina 	0.03018	0.02887	0.00131	0.001509	0.028671	-0.000199	0.00131	4.340622929	-0.659377071
8	3_Large	I._laurina 	0.02963	0.02854	0.00109	0.0014815	0.0281485	-0.0003915	0.00109	3.678704016	-1.321295984
9	3_Large	I._laurina 	0.03316	0.03105	0.00211	0.001658	0.031502	0.000452	0.00211	6.363088058	1.363088058
10	3_Large	I._laurina 	0.03146	0.03082	0.00064	0.001573	0.029887	-0.000933	0.00064	2.034329307	-2.965670693
11	3_Large	I._laurina 	0.03149	0.03057	0.00092	0.0015745	0.0299155	-0.0006545	0.00092	2.921562401	-2.078437599
12	3_Large	I._laurina 	0.03125	0.03006	0.00119	0.0015625	0.0296875	-0.0003725	0.00119	3.808	-1.192
1	3_Large	M._guianensis 	0.0259	0.02068	0.00522	0.001295	0.024605	0.003925	0.00522	20.15444015	15.15444015
2	3_Large	M._guianensis 	0.03423	0.01418	0.02005	0.0017115	0.0325185	0.0183385	0.02005	58.57434999	53.57434999
3	3_Large	M._guianensis 	0.02946	0.01347	0.01599	0.001473	0.027987	0.014517	0.01599	54.27698574	49.27698574
4	3_Large	M._guianensis 	0.01697	0.01075	0.00622	0.0008485	0.0161215	0.0053715	0.00622	36.65291691	31.65291691
5	3_Large	M._guianensis 	0.03087	0.01665	0.01422	0.0015435	0.0293265	0.0126765	0.01422	46.06413994	41.06413994
6	3_Large	M._guianensis 	0.027	0.01413	0.01287	0.00135	0.02565	0.01152	0.01287	47.66666667	42.66666667
7	3_Large	M._guianensis 	0.03738	0.02066	0.01672	0.001869	0.035511	0.014851	0.01672	44.72980203	39.72980203
8	3_Large	M._guianensis 	0.02152	0.01015	0.01137	0.001076	0.020444	0.010294	0.01137	52.83457249	47.83457249
9	3_Large	M._guianensis 	0.03953	0.00888	0.03065	0.0019765	0.0375535	0.0286735	0.03065	77.53604857	72.53604857
10	3_Large	M._guianensis 	0.02489	0.0143	0.01059	0.0012445	0.0236455	0.0093455	0.01059	42.54720771	37.54720771
11	3_Large	M._guianensis 	0.02659	0.02157	0.00502	0.0013295	0.0252605	0.0036905	0.00502	18.87927792	13.87927792
12	3_Large	M._guianensis 	0.01664	0.00756	0.00908	0.000832	0.015808	0.008248	0.00908	54.56730769	49.56730769
1	3_Large	R._grandis 	0.04087	0.03863	0.00224	0.0020435	0.0388265	0.0001965	0.00224	5.480792758	0.480792758
2	3_Large	R._grandis 	0.03782	0.03385	0.00397	0.001891	0.035929	0.002079	0.00397	10.49709149	5.497091486
3	3_Large	R._grandis 	0.03968	0.03642	0.00326	0.001984	0.037696	0.001276	0.00326	8.215725806	3.215725806
4	3_Large	R._grandis 	0.04044	0.03577	0.00467	0.002022	0.038418	0.002648	0.00467	11.5479723	6.547972305
5	3_Large	R._grandis 	0.04093	0.03206	0.00887	0.0020465	0.0388835	0.0068235	0.00887	21.67114586	16.67114586
6	3_Large	R._grandis 	0.04119	0.03396	0.00723	0.0020595	0.0391305	0.0051705	0.00723	17.55280408	12.55280408
7	3_Large	R._grandis 	0.03718	0.03285	0.00433	0.001859	0.035321	0.002471	0.00433	11.64604626	6.646046261
8	3_Large	R._grandis 	0.03955	0.03401	0.00554	0.0019775	0.0375725	0.0035625	0.00554	14.00758534	9.007585335
9	3_Large	R._grandis 	0.04194	0.03406	0.00788	0.002097	0.039843	0.005783	0.00788	18.78874583	13.78874583
10	3_Large	R._grandis 	0.0396	0.0383	0.0013	0.00198	0.03762	-0.00068	0.0013	3.282828283	-1.717171717
11	3_Large	R._grandis 	0.05674	0.0485	0.00824	0.002837	0.053903	0.005403	0.00824	14.5223828	9.522382799
12	3_Large	R._grandis 	0.03698	0.03534	0.00164	0.001849	0.035131	-0.000209	0.00164	4.434829638	-0.565170362
1	2_Medium	I._laurina 	0.02368	0.02301	0.00067	0.001184	0.022496	-0.000514	0.00067	2.829391892	-2.170608108
2	2_Medium	I._laurina 	0.02368	0.02159	0.00209	0.001184	0.022496	0.000906	0.00209	8.826013514	3.826013514
3	2_Medium	I._laurina 	0.0266	0.02235	0.00425	0.00133	0.02527	0.00292	0.00425	15.97744361	10.97744361
4	2_Medium	I._laurina 	0.02277	0.02148	0.00129	0.0011385	0.0216315	0.0001515	0.00129	5.665349144	0.665349144
5	2_Medium	I._laurina 	0.02233	0.02118	0.00115	0.0011165	0.0212135	3.35E-05	0.00115	5.150022391	0.150022391
6	2_Medium	I._laurina 	0.02817	0.02341	0.00476	0.0014085	0.0267615	0.0033515	0.00476	16.89740859	11.89740859
7	2_Medium	I._laurina 	0.02231	0.02133	0.00098	0.0011155	0.0211945	-0.0001355	0.00098	4.392649036	-0.607350964
8	2_Medium	I._laurina 	0.02212	0.02109	0.00103	0.001106	0.021014	-7.60E-05	0.00103	4.65641953	-0.34358047
9	2_Medium	I._laurina 	0.02276	0.02147	0.00129	0.001138	0.021622	0.000152	0.00129	5.667838313	0.667838313
10	2_Medium	I._laurina 	0.02207	0.02127	0.0008	0.0011035	0.0209665	-0.0003035	0.0008	3.624830086	-1.375169914
11	2_Medium	I._laurina 	0.02204	0.02127	0.00077	0.001102	0.020938	-0.000332	0.00077	3.493647913	-1.506352087
12	2_Medium	I._laurina 	0.02268	0.02204	0.00064	0.001134	0.021546	-0.000494	0.00064	2.821869489	-2.178130511
1	2_Medium	M._guianensis 	0.01824	0.01466	0.00358	0.000912	0.017328	0.002668	0.00358	19.62719298	14.62719298
2	2_Medium	M._guianensis 	0.01594	0.0105	0.00544	0.000797	0.015143	0.004643	0.00544	34.12797992	29.12797992
3	2_Medium	M._guianensis 	0.02124	0.01597	0.00527	0.001062	0.020178	0.004208	0.00527	24.81167608	19.81167608
4	2_Medium	M._guianensis 	0.01973	0.01197	0.00776	0.0009865	0.0187435	0.0067735	0.00776	39.33096807	34.33096807
5	2_Medium	M._guianensis 	0.01832	0.00763	0.01069	0.000916	0.017404	0.009774	0.01069	58.35152838	53.35152838
6	2_Medium	M._guianensis 	0.01867	0.01354	0.00513	0.0009335	0.0177365	0.0041965	0.00513	27.47723621	22.47723621
7	2_Medium	M._guianensis 	0.01172	0.00811	0.00361	0.000586	0.011134	0.003024	0.00361	30.80204778	25.80204778
8	2_Medium	M._guianensis 	0.01499	0.00667	0.00832	0.0007495	0.0142405	0.0075705	0.00832	55.50366911	50.50366911
9	2_Medium	M._guianensis 	0.01103	0.00613	0.0049	0.0005515	0.0104785	0.0043485	0.0049	44.42429737	39.42429737
10	2_Medium	M._guianensis 	0.01813	0.0123	0.00583	0.0009065	0.0172235	0.0049235	0.00583	32.15664644	27.15664644
11	2_Medium	M._guianensis 	0.01976	0.01568	0.00408	0.000988	0.018772	0.003092	0.00408	20.64777328	15.64777328
12	2_Medium	M._guianensis 	0.01723	0.00686	0.01037	0.0008615	0.0163685	0.0095085	0.01037	60.18572258	55.18572258
1	2_Medium	R._grandis 	0.02797	0.02402	0.00395	0.0013985	0.0265715	0.0025515	0.00395	14.12227386	9.122273865
2	2_Medium	R._grandis 	0.0281	0.02329	0.00481	0.001405	0.026695	0.003405	0.00481	17.11743772	12.11743772
3	2_Medium	R._grandis 	0.02799	0.02284	0.00515	0.0013995	0.0265905	0.0037505	0.00515	18.39942837	13.39942837
4	2_Medium	R._grandis 	0.02874	0.02284	0.0059	0.001437	0.027303	0.004463	0.0059	20.52887961	15.52887961
5	2_Medium	R._grandis 	0.02748	0.0222	0.00528	0.001374	0.026106	0.003906	0.00528	19.2139738	14.2139738
6	2_Medium	R._grandis 	0.03	0.02451	0.00549	0.0015	0.0285	0.00399	0.00549	18.3	13.3
7	2_Medium	R._grandis 	0.02723	0.022	0.00523	0.0013615	0.0258685	0.0038685	0.00523	19.20675725	14.20675725
8	2_Medium	R._grandis 	0.02917	0.02288	0.00629	0.0014585	0.0277115	0.0048315	0.00629	21.56324991	16.56324991
9	2_Medium	R._grandis 	0.02871	0.02269	0.00602	0.0014355	0.0272745	0.0045845	0.00602	20.96830373	15.96830373
10	2_Medium	R._grandis 	0.02649	0.02256	0.00393	0.0013245	0.0251655	0.0026055	0.00393	14.83578709	9.835787089
11	2_Medium	R._grandis 	0.02679	0.02344	0.00335	0.0013395	0.0254505	0.0020105	0.00335	12.50466592	7.50466592
12	2_Medium	R._grandis 	0.02773	0.02345	0.00428	0.0013865	0.0263435	0.0028935	0.00428	15.43454742	10.43454742
1	1_Small	I._laurina 	0.00897	0.00798	0.00099	0.0004485	0.0085215	0.0005415	0.00099	11.0367893	6.036789298
2	1_Small	I._laurina 	0.00936	0.00814	0.00122	0.000468	0.008892	0.000752	0.00122	13.03418803	8.034188034
3	1_Small	I._laurina 	0.00866	0.00713	0.00153	0.000433	0.008227	0.001097	0.00153	17.66743649	12.66743649
4	1_Small	I._laurina 	0.00902	0.00782	0.0012	0.000451	0.008569	0.000749	0.0012	13.3037694	8.303769401
5	1_Small	I._laurina 	0.00889	0.00742	0.00147	0.0004445	0.0084455	0.0010255	0.00147	16.53543307	11.53543307
6	1_Small	I._laurina 	0.00934	0.0081	0.00124	0.000467	0.008873	0.000773	0.00124	13.27623126	8.276231263
